Location,Base,Off_July_20,E21,E22,E23,Diff_23-20,percent_change_23over20
".Madison County, Missouri",12626,12626,12664,12757,12698,72,0.5702518612387137
".Perry County, Pennsylvania",45830,45825,45943,46113,46083,258,0.562950032729653
".San Bernardino County, California",2181660,2183391,2193087,2194908,2195611,12220,0.5601239423191515
".Will County, Illinois",697298,696826,699176,698046,700728,3902,0.5595885833603423
".Butler County, Ohio",390352,390878,387619,389728,393043,2165,0.5546276181497725
".Pierce County, Washington",921147,923589,927402,926479,928696,5107,0.5544174816831624
".Hot Spring County, Arkansas",33044,33075,33079,33149,33258,183,0.5538070451519187
".Sheridan County, North Dakota",1265,1259,1263,1286,1266,7,0.5533596837944664
".Weakley County, Tennessee",32903,32903,32883,33043,33084,181,0.5501018144242167
".Price County, Wisconsin",14047,14025,14048,14159,14102,77,0.548159749412686
".Oliver County, North Dakota",1876,1869,1876,1862,1879,10,0.5330490405117271
".Crockett County, Tennessee",13912,13908,13990,13862,13982,74,0.5319148936170213
".Osage County, Kansas",15765,15741,15752,15705,15824,83,0.5264827148747225
".Lamoille County, Vermont",25945,25924,26149,26103,26060,136,0.5241857776064752
".Clarendon County, South Carolina",31145,30841,30961,30927,31004,163,0.5233584845079466
".Marinette County, Wisconsin",41874,41889,41858,41966,42106,217,0.5182213306586426
".Woodson County, Kansas",3123,3099,3084,3117,3115,16,0.5123278898495036
".Kent County, Rhode Island",170360,170406,171077,171134,171278,872,0.511857243484386
".Calhoun County, South Carolina",14122,14114,14138,14197,14186,72,0.5098427984704716
".Bourbon County, Kansas",14362,14335,14326,14443,14408,73,0.5082857540732488
".El Dorado County, California",191189,191245,193704,192787,192215,970,0.507351364356736
".Portage County, Ohio",161796,161853,159076,161742,162665,812,0.5018665479987144
".Rush County, Indiana",16748,16763,16679,16672,16847,84,0.5015524241700501
".Athens County, Ohio",62437,62393,59096,60881,62706,313,0.5013053157582843
".Winston County, Alabama",23547,23493,23655,23741,23611,118,0.5011254087569541
".Gilliam County, Oregon",1996,2016,2013,2008,2026,10,0.501002004008016
".Choctaw County, Oklahoma",14204,14205,14363,14407,14276,71,0.4998591945930724
".Delaware County, Indiana",111909,111762,112057,112163,112321,559,0.49951299716734127
".Tate County, Mississippi",28067,28121,28103,28259,28261,140,0.4988064274771084
".Hardeman County, Tennessee",25464,25440,25260,25511,25567,127,0.49874332390826265
".Latimer County, Oklahoma",9444,9479,9454,9556,9526,47,0.49767047861075814
".DeWitt County, Texas",19819,19833,19949,19754,19929,96,0.4843836722337151
".Caswell County, North Carolina",22733,22697,22691,22431,22807,110,0.4838780627281925
".Franklin County, Kansas",25983,26000,26002,25959,26125,125,0.48108378555209175
".Limestone County, Texas",22149,22144,22060,22164,22250,106,0.47857691092148635
".Butler County, Kentucky",12369,12316,12302,12365,12375,59,0.47699894898536666
".Rock County, Nebraska",1263,1265,1275,1241,1271,6,0.4750593824228029
".Walworth County, Wisconsin",105231,105323,105296,105664,105822,499,0.47419486653172543
".Jefferson County, Oklahoma",5335,5322,5390,5408,5347,25,0.4686035613870665
".Washington County, Missouri",23515,23424,23392,23392,23534,110,0.4677865192430364
".Greene County, Mississippi",13540,13538,13648,13566,13601,63,0.465288035450517
".Coos County, New Hampshire",31260,31227,31379,31476,31372,145,0.46385156749840056
".Stanton County, Nebraska",5850,5829,5837,5765,5856,27,0.46153846153846156
".Southeastern Connecticut Planning Region, Connecticut",280428,278342,278820,279257,279634,1292,0.4607243213944399
".Converse County, Wyoming",13751,13746,13662,13765,13809,63,0.45814849829103343
".Culberson County, Texas",2187,2186,2182,2163,2196,10,0.4572473708276178
".Charlevoix County, Michigan",26056,26041,26199,26173,26159,118,0.4528707399447344
".Pike County, Arkansas",10169,10162,10114,10159,10208,46,0.45235519716786315
".Lapeer County, Michigan",88620,88583,88662,88632,88977,394,0.4445948995712029
".Appling County, Georgia",18445,18376,18423,18437,18457,81,0.43914339929520196
".Moffat County, Colorado",13295,13269,13165,13205,13327,58,0.4362542309138774
".Putnam County, New York",97678,97635,98228,98312,98060,425,0.43510309383894025
".Kent County, Michigan",657977,658492,658852,658920,661354,2862,0.43496961139979057
".Mason County, Michigan",29053,29033,29339,29318,29159,126,0.4336901524799504
".Wichita County, Texas",129361,129620,130073,130220,130180,560,0.4328970864480021
".Aroostook County, Maine",67099,67063,67075,67322,67351,288,0.42921653079777644
".Lafayette County, Missouri",32983,33055,32834,32967,33196,141,0.4274929509141072
".Whitman County, Washington",47970,47807,43224,47579,48012,205,0.4273504273504274
".Bergen County, New Jersey",955743,953690,955383,953540,957736,4046,0.423335561965926
".Wharton County, Texas",41571,41564,41652,41740,41739,175,0.4209665391739434
".Dutchess County, New York",297021,295901,298776,297609,297150,1249,0.42050898758000277
".Buchanan County, Iowa",20562,20605,20703,20689,20691,86,0.4182472522128198
".Grundy County, Iowa",12326,12333,12358,12355,12384,51,0.41375953269511606
".Orleans County, Vermont",27401,27403,27591,27562,27516,113,0.41239370825882266
".Greene County, North Carolina",20454,20446,20280,20367,20530,84,0.41067761806981523
".Delaware County, New York",44311,44231,44718,44774,44410,179,0.4039628986030557
".Tift County, Georgia",41357,41387,41082,41335,41554,167,0.40380104939913436
".Norfolk County, Massachusetts",725932,724554,724471,725469,727473,2919,0.4021037783153243
".Staunton city, Virginia",25753,25812,25689,25940,25915,103,0.3999534034869724
".Dickinson County, Kansas",18401,18373,18465,18355,18445,72,0.39128308244117166
".Spencer County, Indiana",19812,19833,19841,19849,19910,77,0.3886533414092469
".Schenectady County, New York",158052,159289,160046,159694,159902,613,0.3878470376838003
".Marathon County, Wisconsin",138026,138078,137755,137955,138612,534,0.38688363062031794
".Victoria County, Texas",91322,91311,90896,91074,91664,353,0.3865443157180088
".Clinch County, Georgia",6741,6720,6702,6679,6746,26,0.38569945112001186
".Washington County, Pennsylvania",209369,209434,210054,209940,210232,798,0.3811452507295731
".Shelby County, Indiana",45049,45060,45101,45189,45231,171,0.3795866722901729
".El Paso County, Texas",865661,866606,867499,867239,869880,3274,0.3782080976271312
".Gregory County, South Dakota",3996,4003,3957,3999,4018,15,0.37537537537537535
".Atlantic County, New Jersey",274536,274190,274956,275382,275213,1023,0.37262872628726285
".Comanche County, Oklahoma",121128,121125,122324,122225,121574,449,0.3706822534839178
".Huntington County, Indiana",36669,36646,36788,36800,36781,135,0.3681583899206414
".Antelope County, Nebraska",6292,6279,6295,6305,6302,23,0.36554354736172917
".Madison County, Tennessee",98833,98832,98557,99172,99193,361,0.36526261471370897
".Floyd County, Indiana",80479,80519,80595,80621,80809,290,0.36034244958312106
".Holmes County, Ohio",44214,44227,44349,44375,44386,159,0.35961460170986564
".Luce County, Michigan",6414,6412,5977,6274,6435,23,0.3585905830994699
".Ashland County, Wisconsin",16036,16022,16048,16040,16079,57,0.35545023696682465
".Meade County, Kentucky",30005,30026,30119,30010,30131,105,0.34994167638726875
".Whitley County, Kentucky",36714,36698,36761,36908,36825,127,0.34591708884894046
".Lake of the Woods County, Minnesota",3765,3765,3826,3886,3778,13,0.3452855245683931
".Candler County, Georgia",10988,11022,10947,10962,11059,37,0.336730979250091
".Grand County, Utah",9664,9674,9671,9771,9706,32,0.33112582781456956
".Lake County, Indiana",498705,498957,499257,499657,500598,1641,0.3290522453153668
".Mackinac County, Michigan",10830,10816,10907,10962,10851,35,0.32317636195752536
".Clallam County, Washington",77166,77367,78466,77684,77616,249,0.32268097348573205
".Rock County, Wisconsin",163690,163758,164115,163841,164278,520,0.31767365141425863
".Carroll County, Virginia",29158,29148,29098,29118,29239,91,0.31209273612730637
".Chase County, Kansas",2573,2571,2604,2568,2579,8,0.3109211037699184
".Bracken County, Kentucky",8401,8400,8440,8435,8426,26,0.3094869658374003
".Seward County, Nebraska",17608,17618,17556,17625,17671,53,0.30099954566106313
".Dickinson County, Michigan",25955,25904,25819,25943,25982,78,0.30052013099595454
".Wood County, Ohio",132247,132256,130310,131642,132650,394,0.29792736319160357
".Perry County, Ohio",35406,35446,35464,35471,35551,105,0.29655990510083036
".Van Buren County, Michigan",75585,75574,75678,75669,75798,224,0.2963550969107627
".Adams County, Ohio",27471,27440,27574,27459,27521,81,0.2948563940155073
".Clark County, Wisconsin",34661,34672,34762,34732,34774,102,0.2942788725080061
".Florence County, South Carolina",137060,136817,136401,136740,137214,397,0.28965416605866046
".Howard County, Indiana",83664,83589,83650,83546,83831,242,0.2892522470835724
".Jasper County, Iowa",37805,37810,37874,37949,37919,109,0.2883216505753207
".Washington County, Virginia",53936,53895,53735,53855,54050,155,0.28737763274992584
".Moniteau County, Missouri",15474,15212,15310,15260,15256,44,0.28434793847744605
".Essex County, Massachusetts",809827,807791,807360,806499,810089,2298,0.28376431015513187
".Okfuskee County, Oklahoma",11310,11268,11222,11227,11300,32,0.28293545534924847
".Perry County, Indiana",19170,19155,19334,19207,19209,54,0.28169014084507044
".Andrews County, Texas",18608,18612,18411,18324,18664,52,0.2794496990541703
".Kosciusko County, Indiana",80233,80141,80237,80564,80364,223,0.27794049829870504
".Esmeralda County, Nevada",730,734,735,747,736,2,0.273972602739726
".Madison County, Nebraska",35589,35530,35395,35414,35627,97,0.2725561268931411
".Lackawanna County, Pennsylvania",215918,215539,216043,215750,216123,584,0.2704730499541493
".Amherst County, Virginia",31310,31312,31385,31472,31396,84,0.26828489300542957
".Champaign County, Ohio",38712,38743,38794,38743,38845,102,0.2634841909485431
".Trempealeau County, Wisconsin",30763,30818,30723,30891,30899,81,0.26330331892208175
".Clay County, Nebraska",6099,6100,6039,6049,6116,16,0.26233808821118215
".Middlesex County, New Jersey",863202,861408,862364,861094,863623,2215,0.25660274188428667
".Becker County, Minnesota",35172,35193,35336,35363,35283,90,0.255885363357216
".Doniphan County, Kansas",7509,7474,7456,7475,7493,19,0.253029697696098
".Laramie County, Wyoming",100512,100730,100827,100781,100984,254,0.25270614453995544
".Scotland County, North Carolina",34177,34290,34285,34350,34376,86,0.2516312139743102
".Val Verde County, Texas",47585,47605,47533,47617,47720,115,0.24167279604917516
".Brown County, Ohio",43673,43673,43696,43700,43777,104,0.23813340049916423
".Livingston County, Kentucky",8888,8871,8980,8968,8892,21,0.23627362736273627
".Marion County, Alabama",29340,29176,29001,29182,29244,68,0.2317655078391275
".Hanson County, South Dakota",3461,3463,3510,3479,3471,8,0.23114706732158338
".Windham County, Vermont",45915,45860,46150,45899,45966,106,0.23086137427855818
".Meeker County, Minnesota",23404,23437,23403,23526,23490,53,0.22645701589471884
".Renville County, North Dakota",2283,2274,2265,2250,2279,5,0.2190100744634253
".Wayne County, Pennsylvania",51149,51151,51188,51084,51262,111,0.21701304033314434
".St. Louis County, Minnesota",200233,200083,199521,199558,200514,431,0.21524923464164247
".Ottawa County, Oklahoma",30284,30222,30380,30329,30287,65,0.2146347906485273
".Ray County, Missouri",23161,23133,23089,23121,23182,49,0.21156254047752687
".Titus County, Texas",31241,31291,31260,31237,31357,66,0.21126084312281934
".Page County, Virginia",23709,23691,23825,23777,23741,50,0.21089037918090178
".Wilson County, North Carolina",78789,78804,78241,78306,78970,166,0.21068930942136593
".Wayne County, Kentucky",19554,19539,19535,19634,19580,41,0.20967576966349596
".Carroll County, Ohio",26716,26702,26700,26686,26758,56,0.20961221739781402
".Kandiyohi County, Minnesota",43726,43722,43809,43771,43813,91,0.2081141654850661
".Sauk County, Wisconsin",65766,65784,65702,65770,65920,136,0.20679378402213908
".Barron County, Wisconsin",46726,46737,46709,46715,46833,96,0.20545306681504943
".Seminole County, Oklahoma",23560,23517,23542,23464,23565,48,0.20373514431239387
".Vernon County, Missouri",19709,19670,19588,19599,19710,40,0.20295296565021057
".Graham County, North Carolina",8028,8036,8008,8032,8052,16,0.1993024414549078
".Matagorda County, Texas",36254,36287,36339,36122,36359,72,0.19859877530755227
".Grant County, South Dakota",7561,7538,7552,7486,7553,15,0.19838645681788122
".Piatt County, Illinois",16676,16681,16757,16675,16714,33,0.1978891820580475
".Polk County, Nebraska",5215,5218,5191,5240,5228,10,0.19175455417066153
".Dodge County, Nebraska",37171,37116,37128,37045,37187,71,0.19100912001291329
".Pinellas County, Florida",959111,959793,959583,961792,961596,1803,0.18798658340901103
".Pulaski County, Arkansas",399125,399274,398108,399387,400009,735,0.1841528343250861
".Lyon County, Kansas",32178,32113,32028,32031,32172,59,0.183355087326745
".Tripp County, South Dakota",5629,5611,5580,5579,5621,10,0.17765144785930007
".Chariton County, Missouri",7411,7386,7361,7395,7399,13,0.17541492376197543
".Scott County, Arkansas",9838,9834,9795,9796,9851,17,0.17279934946127262
".Marshall County, Kentucky",31664,31691,31829,31790,31744,53,0.16738251642243557
".Clackamas County, Oregon",421398,422468,423804,423118,423173,705,0.16730027195193142
".Cass County, Michigan",51597,51559,51527,51477,51642,83,0.1608620656239704
".Benton County, Indiana",8717,8715,8686,8672,8729,14,0.16060571297464724
".Kalamazoo County, Michigan",261677,261796,260523,260892,262215,419,0.16012106528277226
".Calhoun County, Alabama",116441,116243,115678,115780,116429,186,0.1597375494885822
".Washington County, Rhode Island",129845,129776,130851,130256,129982,206,0.1586506989102391
".Lincoln County, Nevada",4505,4445,4392,4440,4452,7,0.15538290788013318
".Jennings County, Indiana",27611,27580,27513,27484,27622,42,0.1521132881822462
".Lawrence County, Indiana",45015,45016,45066,45231,45084,68,0.15106075752526935
".Winona County, Minnesota",49666,49647,49788,49469,49721,74,0.14899528852736277
".Wilkes County, North Carolina",65973,65916,65826,65791,66013,97,0.1470298455428736
".Richland County, North Dakota",16533,16534,16557,16574,16558,24,0.14516421702050444
".Douglas County, South Dakota",2833,2834,2811,2787,2838,4,0.1411930815390046
".Defiance County, Ohio",38279,38262,38170,38128,38315,53,0.13845711747955797
".Jackson County, Arkansas",16765,16761,16781,16654,16784,23,0.13719057560393677
".Los Alamos County, New Mexico",19420,19418,19390,19273,19444,26,0.13388259526261587
".Andrew County, Missouri",18132,18103,18015,18016,18127,24,0.13236267372600927
".Jackson County, Missouri",717216,717615,717875,716218,718560,945,0.13175946995047516
".Swisher County, Texas",6972,6946,7007,6959,6955,9,0.12908777969018934
".Day County, South Dakota",5453,5444,5426,5475,5451,7,0.12836970474967907
".Monroe County, Missouri",8662,8687,8701,8635,8698,11,0.1269914569383514
".Lake County, South Dakota",11067,11017,10864,10940,11031,14,0.1265022137887413
".Surry County, North Carolina",71367,71373,71257,71482,71462,89,0.12470749786315805
".Clay County, Indiana",26462,26427,26394,26410,26460,33,0.12470712720126975
".Franklin County, Ohio",1323810,1324441,1317346,1321730,1326063,1622,0.12252513578232525
".Southampton County, Virginia",18000,17953,18024,17899,17975,22,0.12222222222222222
".Arapahoe County, Colorado",655075,655272,656855,656269,656061,789,0.12044422394382323
".Burt County, Nebraska",6724,6719,6709,6770,6727,8,0.1189767995240928
".Plymouth County, Iowa",25699,25692,25731,25722,25722,30,0.11673605976886262
".Edgecombe County, North Carolina",48898,48775,48333,48389,48832,57,0.11656918483373555
".Ontario County, New York",112485,112363,112661,112481,112494,131,0.11645997244076989
".Marion County, Oregon",345910,346350,347851,346719,346741,391,0.11303518256193808
".Bacon County, Georgia",11142,11112,11068,11173,11124,12,0.10770059235325795
".Owen County, Kentucky",11267,11301,11298,11294,11313,12,0.10650572468270171
".Roanoke County, Virginia",96931,96923,96671,96756,97026,103,0.10626115484210419
".Sullivan County, Pennsylvania",5838,5828,5859,5845,5834,6,0.10277492291880781
".Starr County, Texas",65921,65867,65858,65653,65934,67,0.10163680769405803
".Greenwood County, South Carolina",69349,69390,69126,69223,69460,70,0.10093873019077419
".Steele County, Minnesota",37406,37384,37427,37429,37421,37,0.09891461262899
".Providence County, Rhode Island",660728,659963,658782,657424,660615,652,0.09867903282439974
".Franklin County, Kentucky",51540,51594,51714,51548,51644,50,0.09701202949165696
".Monroe County, Michigan",154802,154896,155534,155235,155045,149,0.09625198640844433
".Kay County, Oklahoma",43690,43599,43715,43738,43641,42,0.09613183794918746
".Waseca County, Minnesota",18963,18963,19002,18914,18981,18,0.09492168960607499
".Colfax County, Nebraska",10580,10557,10477,10453,10566,9,0.08506616257088848
".Hardy County, West Virginia",14295,14239,14143,14168,14251,12,0.08394543546694648
".McLeod County, Minnesota",36771,36755,36815,36734,36785,30,0.08158603247124092
".Washington County, Iowa",22566,22542,22522,22542,22560,18,0.07976601967561818
".Richland County, Ohio",124927,124966,125341,125261,125064,98,0.07844581235441497
".Hancock County, Mississippi",46048,46123,46005,46007,46159,36,0.0781792911744267
".Pushmataha County, Oklahoma",10811,10792,10767,10709,10800,8,0.0739987050226621
".Suffolk County, New York",1525894,1522064,1533815,1527974,1523170,1106,0.07248209901867364
".Ringgold County, Iowa",4660,4639,4632,4688,4642,3,0.06437768240343347
".Vermilion Parish, Louisiana",57006,56956,56874,56953,56992,36,0.06315124723713293
".Delaware County, Pennsylvania",576836,576356,576892,575873,576720,364,0.0631028576579825
".Alpena County, Michigan",28912,28886,28939,28833,28904,18,0.06225788599889319
".Lincoln County, Arkansas",12936,12890,13168,12910,12898,8,0.06184291898577613
".St. Joseph County, Indiana",272916,272682,272286,272282,272848,166,0.060824576060033116
".Johnson County, Illinois",13304,13318,13472,13391,13326,8,0.06013229104028864
".Hamilton County, New York",5105,5079,5122,5121,5082,3,0.058765915768854066
".Leake County, Mississippi",21272,21246,21260,21203,21258,12,0.056412185031966905
".Cass County, Iowa",13134,13123,13089,13137,13130,7,0.05329678696512867
".Henry County, Indiana",48910,48903,49024,48815,48929,26,0.05315886321815579
".Vermillion County, Indiana",15443,15409,15435,15433,15417,8,0.051803406073949364
".Daviess County, Kentucky",103324,103405,103089,103189,103458,53,0.05129495567341567
".Nuckolls County, Nebraska",4097,4093,4071,4069,4095,2,0.0488162069807176
".Douglas County, Nevada",49482,49525,49999,49662,49545,20,0.040418738126995674
".Ware County, Georgia",36247,36229,35545,35597,36243,14,0.038623886114712944
".Woodbury County, Iowa",105939,105912,105749,105558,105951,39,0.03681363803698355
".Hill County, Montana",16311,16271,16220,16118,16276,5,0.03065415976948072
".Galax city, Virginia",6725,6715,6653,6702,6717,2,0.029739776951672865
".Emmet County, Michigan",34111,34113,34297,34215,34123,10,0.029316056404092523
".Falls Church city, Virginia",14661,14681,14516,14489,14685,4,0.02728326853557056
".Lyman County, South Dakota",3717,3704,3763,3705,3705,1,0.026903416733925208
".Sumner County, Kansas",22376,22328,22327,22359,22334,6,0.026814444047193423
".Grayson County, Virginia",15336,15281,15344,15325,15285,4,0.02608242044861763
".Forrest County, Mississippi",78162,78189,77869,77976,78208,19,0.024308487500319848
".Shiawassee County, Michigan",68095,68010,67991,67967,68025,15,0.022028049049122547
".Jefferson County, Kansas",18360,18323,18429,18354,18327,4,0.021786492374727667
".Vigo County, Indiana",106158,106130,106116,106082,106153,23,0.021665818873754218
".Allamakee County, Iowa",14064,14071,13968,14018,14074,3,0.021331058020477817
".Geauga County, Ohio",95433,95387,95708,95491,95407,20,0.0209571112717823
".DeKalb County, Illinois",100422,100269,100482,100223,100288,19,0.01892015693772281
".Houston County, Texas",22072,22062,21962,21943,22066,4,0.01812250815512867
".Lyon County, Minnesota",25520,25423,25492,25433,25427,4,0.015673981191222573
".Fayette County, Indiana",23398,23359,23381,23389,23362,3,0.012821608684502949
".Monroe County, Illinois",34953,34953,35004,35001,34957,4,0.01144393900380511
".Manassas city, Virginia",42773,42692,42764,42673,42696,4,0.009351693825544152
".Baylor County, Texas",3467,3463,3458,3462,3463,0,0.0
".Casey County, Kentucky",15939,15918,15940,15911,15918,0,0.0
".Essex County, Virginia",10600,10598,10571,10630,10598,0,0.0
".Dawson County, Nebraska",24109,24085,23934,23905,24085,0,0.0
".Wheeler County, Nebraska",772,775,785,782,775,0,0.0
".Mower County, Minnesota",40033,40059,40219,40050,40058,-1,-0.002497939200159868
".Champaign County, Illinois",205873,205654,206605,206169,205644,-10,-0.0048573635202284905
".Monmouth County, New Jersey",643612,642836,646517,644228,642799,-37,-0.00574880518076108
".Anderson County, Kansas",7834,7839,7807,7798,7838,-1,-0.012764871074802146
".Ingham County, Michigan",284907,284675,271224,283477,284637,-38,-0.013337685630749682
".Monroe County, West Virginia",12378,12384,12388,12322,12382,-2,-0.016157699143641947
".Bucks County, Pennsylvania",646528,646173,647397,645557,645984,-189,-0.02923307265887943
".Holt County, Nebraska",10120,10096,10052,10013,10093,-3,-0.02964426877470356
".Yakima County, Washington",256738,256733,256719,257019,256643,-90,-0.03505519245300657
".Snyder County, Pennsylvania",39734,39733,39734,39506,39717,-16,-0.04026778074193386
".Jackson County, Indiana",46436,46479,46224,46230,46460,-19,-0.04091653027823241
".Henrico County, Virginia",334931,334905,334422,334553,334760,-145,-0.043292499052043555
".Alexander County, North Carolina",36444,36489,36364,36316,36473,-16,-0.043902974426517395
".Lewis County, New York",26587,26560,26722,26595,26548,-12,-0.04513484033550231
".Winnebago County, Wisconsin",171735,171815,170580,170688,171735,-80,-0.04658339884123795
".Mathews County, Virginia",8533,8518,8543,8450,8514,-4,-0.046876831126215865
".Walthall County, Mississippi",13884,13871,13830,13824,13863,-8,-0.05762028233938346
".Noble County, Indiana",47462,47460,47392,47234,47430,-30,-0.06320846150604695
".Indiana County, Pennsylvania",83233,83151,83201,83064,83094,-57,-0.06848245287325941
".Umatilla County, Oregon",80083,80108,80153,80261,80053,-55,-0.06867874580123122
".Manitowoc County, Wisconsin",81360,81387,81506,81198,81331,-56,-0.06882989183874139
".Lincoln County, Wisconsin",28416,28426,28457,28355,28405,-21,-0.07390202702702703
".Mineral County, West Virginia",26932,26889,26897,26902,26867,-22,-0.08168721223822963
".Story County, Iowa",98533,98649,99679,98257,98566,-83,-0.08423573828057605
".Nemaha County, Nebraska",7073,7082,7004,7036,7076,-6,-0.08482963381874735
".San Luis Obispo County, California",282443,281884,279464,282046,281639,-245,-0.08674316587771692
".Wilcox County, Georgia",8764,8787,8737,8751,8779,-8,-0.09128251939753537
".Caldwell County, North Carolina",80678,80652,80547,80347,80574,-78,-0.09668063164679343
".Salt Lake County, Utah",1185230,1186983,1186312,1186569,1185813,-1170,-0.09871501733840689
".Nelson County, North Dakota",3014,2994,3049,2999,2991,-3,-0.09953550099535502
".Gage County, Nebraska",21707,21656,21633,21564,21634,-22,-0.10134979499700557
".Menard County, Texas",1963,1960,1968,1979,1958,-2,-0.10188487009679062
".Tattnall County, Georgia",24284,24321,24092,23988,24296,-25,-0.1029484434195355
".St. Joseph County, Michigan",60942,60941,60844,60778,60878,-63,-0.10337698139214334
".Perry County, Missouri",18954,18970,18972,18878,18950,-20,-0.10551862403714254
".Kings County, California",152486,152844,152775,152987,152682,-162,-0.10623926130923496
".Monroe County, Kentucky",11336,11319,11260,11353,11306,-13,-0.11467889908256881
".Centre County, Pennsylvania",158163,157979,157984,157533,157795,-184,-0.11633567901468739
".Weston County, Wyoming",6838,6816,6746,6858,6808,-8,-0.11699327288680901
".Washington County, Indiana",28168,28238,28138,28171,28205,-33,-0.11715421755183186
".LaMoure County, North Dakota",4091,4101,4079,4076,4096,-5,-0.12221950623319482
".Franklin County, Massachusetts",71028,70923,70991,70995,70836,-87,-0.12248690657205609
".Logan County, Ohio",46153,46116,46158,46062,46057,-59,-0.12783567698741144
".King County, Washington",2269697,2274282,2252980,2265311,2271380,-2902,-0.12785847626357175
".Hampton city, Virginia",137157,137280,137760,137858,137098,-182,-0.13269464919763482
".Jefferson County, Indiana",33143,33100,33117,32936,33056,-44,-0.1327580484566877
".Talbot County, Georgia",5735,5726,5755,5757,5718,-8,-0.13949433304272016
".Toombs County, Georgia",27026,27078,26847,26813,27040,-38,-0.14060534300303412
".Sacramento County, California",1585045,1586566,1588810,1584380,1584288,-2278,-0.14371831714556998
".Dallas County, Texas",2611481,2610112,2588235,2601993,2606358,-3754,-0.14374984922348658
".Denver County, Colorado",715524,717606,711467,713453,716577,-1029,-0.1438106897881832
".Clatsop County, Oregon",41076,41162,41932,41652,41102,-60,-0.1460706982179375
".LaSalle Parish, Louisiana",14797,14823,14842,14821,14800,-23,-0.15543691288774752
".Tillamook County, Oregon",27386,27461,27808,27521,27417,-44,-0.1606660337398671
".Oakland County, Michigan",1274402,1272493,1272630,1271025,1270426,-2067,-0.16219371909334732
".Union County, New Jersey",575363,573660,572833,570417,572726,-934,-0.16233230152095285
".Brooks County, Georgia",16301,16272,16276,16284,16245,-27,-0.16563401018342433
".Taos County, New Mexico",34490,34463,34685,34590,34405,-58,-0.16816468541606264
".Bollinger County, Missouri",10574,10562,10586,10531,10544,-18,-0.17022886324947986
".Davison County, South Dakota",19953,19956,19899,19907,19922,-34,-0.17040044103643562
".Jackson County, Ohio",32646,32662,32539,32611,32606,-56,-0.17153709489677144
".Monroe County, Indiana",139711,139585,140176,139621,139342,-243,-0.17393047075749227
".Chester County, South Carolina",32294,32284,32148,31993,32226,-58,-0.17959992568278937
".Faribault County, Minnesota",13919,13898,13906,13930,13873,-25,-0.17961060421007258
".Atkinson County, Georgia",8286,8308,8348,8160,8293,-15,-0.18102824040550325
".Graves County, Kentucky",36654,36528,36673,36493,36461,-67,-0.18279041850821193
".Ellsworth County, Kansas",6382,6369,6324,6383,6357,-12,-0.1880288310874334
".Muskingum County, Ohio",86421,86468,86577,86114,86305,-163,-0.1886115643188577
".Scott County, Iowa",174671,174609,174225,173751,174270,-339,-0.19407915452479232
".Maverick County, Texas",57884,57875,57683,57628,57762,-113,-0.19521802225139936
".DeKalb County, Georgia",764425,764489,759113,761779,762992,-1497,-0.19583346960133433
".Douglas County, Wisconsin",44295,44351,44055,44226,44264,-87,-0.19641043007111414
".Wallace County, Kansas",1512,1512,1513,1493,1509,-3,-0.1984126984126984
".Hockley County, Texas",21542,21504,21265,21278,21460,-44,-0.20425215857394857
".Marshall County, Iowa",40106,40096,39913,39821,40014,-82,-0.20445818580760983
".Etowah County, Alabama",103434,103453,103010,102903,103241,-212,-0.20496161803662238
".Fond du Lac County, Wisconsin",104160,104169,104116,103812,103948,-221,-0.21217357910906295
".Clinton County, Ohio",42022,42028,42115,41890,41938,-90,-0.21417352815192042
".Delta County, Michigan",36903,36870,36825,36781,36790,-80,-0.2167845432620654
".Schley County, Georgia",4548,4536,4486,4497,4526,-10,-0.21987686895338612
".Dubois County, Indiana",43631,43642,43565,43492,43546,-96,-0.2200270449909468
".Nevada County, California",102237,102265,103517,102401,102037,-228,-0.2230112385926817
".Rusk County, Wisconsin",14186,14175,14085,14099,14143,-32,-0.22557451008036095
".Green County, Wisconsin",37088,37035,37066,36885,36951,-84,-0.22648835202761
".Montgomery County, Maryland",1062065,1060904,1056193,1053067,1058474,-2430,-0.22879955558275625
".Macon County, Missouri",15210,15196,15178,15076,15161,-35,-0.23011176857330704
".Kane County, Illinois",516516,516181,516292,514139,514982,-1199,-0.2321322088763949
".Ben Hill County, Georgia",17194,17168,17128,17057,17128,-40,-0.23263929277654993
".Montgomery County, New York",49527,49485,49482,49333,49368,-117,-0.23623478102852988
".Nelson County, Virginia",14772,14740,14838,14747,14705,-35,-0.23693474140265366
".Beaver County, Oklahoma",5053,5030,4994,5019,5018,-12,-0.23748268355432417
".Mercer County, Ohio",42539,42542,42392,42424,42439,-103,-0.24213075060532688
".Coal County, Oklahoma",5265,5279,5304,5291,5266,-13,-0.24691358024691357
".Maries County, Missouri",8428,8451,8417,8432,8430,-21,-0.24916943521594684
".Sandusky County, Ohio",58886,58856,58741,58567,58709,-147,-0.24963488774921036
".Sheboygan County, Wisconsin",118032,118053,117687,117661,117752,-301,-0.2550155889928155
".Petersburg city, Virginia",33463,33396,33411,33462,33309,-87,-0.2599886441741625
".Preston County, West Virginia",34213,34188,34304,34222,34099,-89,-0.26013503638967644
".Pike County, Ohio",27090,27072,27094,27012,27001,-71,-0.26208933185677374
