Location,Base,Off_July_20,E21,E22,E23,Diff_23-20,percent_change_23over20
".Spartanburg County, South Carolina",327992,329379,335397,345948,356698,27319,8.329166565038172
".Benewah County, Idaho",9531,9576,9895,10291,10369,793,8.3202182352324
".Wilson County, Texas",49753,50052,51307,52754,54183,4131,8.303016903503305
".Sequatchie County, Tennessee",15825,15848,16448,16918,17161,1313,8.296998420221168
".Washington County, Idaho",10498,10558,10900,11147,11425,867,8.258715945894455
".Box Elder County, Utah",57664,57946,59685,61523,62684,4738,8.216564927857936
".Crook County, Oregon",24738,24929,25762,26377,26952,2023,8.177702320316921
".Lincoln County, Missouri",59578,59854,61640,63182,64699,4845,8.132196448353419
".Levy County, Florida",42909,43059,44156,45253,46545,3486,8.124169754596938
".Mineral County, Colorado",868,874,929,931,944,70,8.064516129032258
".Paulding County, Georgia",168666,169580,173989,178753,183164,13584,8.053786773860766
".Pike County, Georgia",18889,18946,19540,19955,20461,1515,8.02054105564085
".Montague County, Texas",19967,19999,20437,21079,21598,1599,8.008213552361395
".Berkeley County, West Virginia",122075,122699,126180,129379,132440,9741,7.979520786401801
".Grayson County, Texas",135543,136099,139563,143198,146907,10808,7.973853315921884
".Hudspeth County, Texas",3201,3196,3275,3416,3451,255,7.966260543580131
".Forsyth County, Georgia",251287,252901,260783,267312,272887,19986,7.953455610517059
".Pickens County, Georgia",33212,33337,34021,34825,35969,2632,7.924846441045405
".Citrus County, Florida",153849,154568,158167,162508,166696,12128,7.883054163497976
".Bandera County, Texas",20847,20998,21528,22120,22637,1639,7.862042500119921
".Meagher County, Montana",1924,1920,1958,2026,2071,151,7.848232848232849
".Idaho County, Idaho",16547,16594,17059,17637,17890,1296,7.8322354505348395
".Dolores County, Colorado",2325,2331,2375,2460,2513,182,7.827956989247312
".Delaware County, Ohio",214135,215166,221282,226526,231636,16470,7.691409624769421
".Piute County, Utah",1444,1440,1492,1493,1550,110,7.617728531855955
".Frederick County, Maryland",271710,272786,280647,287540,293391,20605,7.583452946155828
