table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Counties in Texas: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
".Presidio County, Texas","6,133","6,108","6,113","5,954","5,795"
".Rains County, Texas","12,151","12,175","12,463","12,836","12,986"
".Randall County, Texas","140,755","141,347","144,055","146,244","148,255"
".Reagan County, Texas","3,385","3,380","3,222","3,121","3,141"
".Real County, Texas","2,759","2,751","2,817","2,832","2,854"
".Red River County, Texas","11,589","11,561","11,561","11,605","11,678"
".Reeves County, Texas","14,743","14,768","12,981","11,692","11,770"
".Refugio County, Texas","6,744","6,748","6,704","6,638","6,666"
".Roberts County, Texas",828,822,801,812,840
".Robertson County, Texas","16,753","16,766","16,946","17,130","17,267"
".Rockwall County, Texas","107,844","109,158","116,612","123,342","131,307"
".Runnels County, Texas","9,898","9,919","9,892","9,884","9,868"
".Rusk County, Texas","52,215","52,252","52,695","52,524","53,079"
".Sabine County, Texas","9,896","9,892","10,013","10,041","10,106"
".San Augustine County, Texas","7,919","7,921","7,905","7,860","7,833"
".San Jacinto County, Texas","27,397","27,533","27,811","28,340","28,936"
".San Patricio County, Texas","68,754","68,841","69,767","70,087","70,660"
".San Saba County, Texas","5,724","5,727","5,829","5,880","5,845"
".Schleicher County, Texas","2,448","2,439","2,438","2,359","2,391"
".Scurry County, Texas","16,933","16,942","16,837","16,269","16,212"
".Shackelford County, Texas","3,107","3,110","3,191","3,212","3,229"
".Shelby County, Texas","24,018","23,924","23,984","24,061","24,179"
".Sherman County, Texas","2,781","2,789","2,789","2,778","2,678"
".Smith County, Texas","233,484","234,199","237,182","241,995","245,209"
".Somervell County, Texas","9,205","9,205","9,477","9,797","9,888"
".Starr County, Texas","65,921","65,867","65,858","65,653","65,934"
".Stephens County, Texas","9,098","9,093","9,433","9,377","9,343"
".Sterling County, Texas","1,370","1,382","1,380","1,426","1,397"
".Stonewall County, Texas","1,244","1,243","1,211","1,218","1,218"
".Sutton County, Texas","3,373","3,356","3,291","3,232","3,221"
".Swisher County, Texas","6,972","6,946","7,007","6,959","6,955"
".Tarrant County, Texas","2,110,623","2,115,840","2,129,695","2,155,646","2,182,947"
".Taylor County, Texas","143,203","143,454","143,922","145,147","146,836"
".Terrell County, Texas",760,750,721,688,687
".Terry County, Texas","11,831","11,793","11,714","11,444","11,547"
".Throckmorton County, Texas","1,441","1,451","1,503","1,539","1,526"
".Titus County, Texas","31,241","31,291","31,260","31,237","31,357"
".Tom Green County, Texas","120,007","120,195","119,231","118,913","119,057"
".Travis County, Texas","1,290,218","1,296,613","1,308,868","1,327,550","1,334,961"
".Trinity County, Texas","13,602","13,634","13,832","13,993","14,228"
".Tyler County, Texas","19,798","19,810","19,898","20,411","20,382"
".Upshur County, Texas","40,894","41,046","41,835","42,454","43,281"
".Upton County, Texas","3,306","3,299","3,233","3,146","3,109"
".Uvalde County, Texas","24,575","24,571","24,803","24,890","24,960"
".Val Verde County, Texas","47,585","47,605","47,533","47,617","47,720"
".Van Zandt County, Texas","59,543","59,758","61,253","62,888","64,000"
".Victoria County, Texas","91,322","91,311","90,896","91,074","91,664"
".Walker County, Texas","76,406","76,553","78,348","79,678","81,268"
".Waller County, Texas","56,751","57,285","59,419","61,852","63,553"
".Ward County, Texas","11,640","11,674","11,081","10,948","10,966"
".Washington County, Texas","35,802","35,804","35,947","36,368","37,007"
".Webb County, Texas","267,113","267,363","267,400","267,619","269,148"
".Wharton County, Texas","41,571","41,564","41,652","41,740","41,739"
".Wheeler County, Texas","4,988","4,977","4,886","4,787","4,804"
".Wichita County, Texas","129,361","129,620","130,073","130,220","130,180"
".Wilbarger County, Texas","12,888","12,842","12,703","12,535","12,522"
".Willacy County, Texas","20,164","20,148","20,292","20,254","20,037"
".Williamson County, Texas","609,006","615,552","644,595","672,273","697,191"
".Wilson County, Texas","49,753","50,052","51,307","52,754","54,183"
".Winkler County, Texas","7,791","7,754","7,382","7,300","7,414"
".Wise County, Texas","68,631","68,947","71,871","74,897","78,097"
".Wood County, Texas","44,849","45,037","46,076","46,930","47,921"
".Yoakum County, Texas","7,694","7,675","7,563","7,484","7,468"
".Young County, Texas","17,868","17,849","17,943","18,012","18,124"
".Zapata County, Texas","13,887","13,875","13,875","13,838","13,736"
".Zavala County, Texas","9,668","9,661","9,473","9,384","9,312"
"Vintage 2023 data products are associated with Data Management System projects P-6000042, P-7501659, and P-7527355. The U.S. Census Bureau reviewed these data products for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY24-0085).  ",,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2023 population estimates series are as of January 1, 2023.",,,,,
Suggested Citation:,,,,,
"Annual Estimates of the Resident Population for Counties in Texas: April 1, 2020 to July 1, 2023 (CO-EST2023-POP-48)",,,,,
"Source: U.S. Census Bureau, Population Division",,,,,
Release Date: March 2024,,,,,
